time,sample,area,experiment
0,control_00,468719.878,control
1,control_00,346839.938,control
2,control_00,410144.805,control
3,control_00,447330.537,control
4,control_00,410088.665,control
5,control_00,491681.138,control
0,control_01,540151.010,control
1,control_01,349204.835,control
2,control_01,421821.925,control
3,control_01,433197.292,control
4,control_01,468074.268,control
5,control_01,511498.557,control
0,control_02,499168.810,control
1,control_02,353829.367,control
2,control_02,405281.677,control
3,control_02,410046.560,control
4,control_02,479084.725,control
5,control_02,498628.463,control
0,control_03,485660.122,control
1,control_03,364839.825,control
2,control_03,440053.390,control
3,control_03,470439.165,control
4,control_03,469323.383,control
5,control_03,513814.333,control
0,control_04,473800.547,control
1,control_04,304292.835,control
2,control_04,420053.515,control
3,control_04,449176.140,control
4,control_04,472158.453,control
5,control_04,502523.175,control
0,control_05,464930.427,control
1,control_05,297836.735,control
2,control_05,419695.622,control
3,control_05,417443.005,control
4,control_05,498396.885,control
5,control_05,410327.260,control
0,test_00_00,294903.420,test_00
1,test_00_00,332531.255,test_00
2,test_00_00,369829.268,test_00
3,test_00_00,407737.802,test_00
4,test_00_00,421723.680,test_00
5,test_00_00,426446.458,test_00
0,test_00_01,342903.120,test_00
1,test_00_01,349057.468,test_00
2,test_00_01,395597.528,test_00
3,test_00_01,424860.503,test_00
4,test_00_01,471611.088,test_00
5,test_00_01,496586.370,test_00
0,test_00_02,288173.638,test_00
1,test_00_02,353527.615,test_00
2,test_00_02,400825.565,test_00
3,test_00_02,418327.210,test_00
4,test_00_02,458607.660,test_00
5,test_00_02,473653.180,test_00
0,test_00_03,354271.470,test_00
1,test_00_03,297156.037,test_00
2,test_00_03,356432.860,test_00
3,test_00_03,385211.628,test_00
4,test_00_03,416958.797,test_00
5,test_00_03,494579.365,test_00
0,test_00_04,344692.583,test_00
1,test_00_04,344208.375,test_00
2,test_00_04,427527.153,test_00
3,test_00_04,472516.345,test_00
4,test_00_04,474881.242,test_00
5,test_00_04,497168.823,test_00
0,test_01_00,337141.753,test_01
1,test_01_00,332776.867,test_01
2,test_01_00,342432.948,test_01
3,test_01_00,307359.482,test_01
4,test_01_00,294475.352,test_01
5,test_01_00,313738.390,test_01
0,test_01_01,417057.042,test_01
1,test_01_01,424965.765,test_01
2,test_01_01,415106.177,test_01
3,test_01_01,470825.128,test_01
4,test_01_01,421464.033,test_01
5,test_01_01,437141.128,test_01
0,test_01_02,245731.798,test_01
1,test_01_02,342018.915,test_01
2,test_01_02,361892.475,test_01
3,test_01_02,365681.925,test_01
4,test_01_02,356264.440,test_01
5,test_01_02,347387.302,test_01
0,test_01_03,285212.253,test_01
1,test_01_03,347787.300,test_01
2,test_01_03,336292.635,test_01
3,test_01_03,331211.965,test_01
4,test_01_03,310622.620,test_01
5,test_01_03,1852.620,test_01
0,test_01_04,292384.138,test_01
1,test_01_04,337555.785,test_01
2,test_01_04,321127.818,test_01
3,test_01_04,311619.105,test_01
4,test_01_04,7263.113,test_01
5,test_01_04,300341.982,test_01
0,test_02_00,448993.685,test_02
1,test_02_00,392671.230,test_02
2,test_02_00,352846.917,test_02
3,test_02_00,353057.443,test_02
4,test_02_00,301064.785,test_02
5,test_02_00,351682.013,test_02
0,test_02_01,328790.927,test_02
1,test_02_01,325450.597,test_02
2,test_02_01,328061.107,test_02
3,test_02_01,274714.073,test_02
4,test_02_01,348411.857,test_02
5,test_02_01,337310.172,test_02
0,test_02_02,343275.047,test_02
1,test_02_02,324973.408,test_02
2,test_02_02,252166.845,test_02
3,test_02_02,272412.333,test_02
4,test_02_02,233570.470,test_02
5,test_02_02,252700.175,test_02
0,test_02_03,291050.812,test_02
1,test_02_03,305373.530,test_02
2,test_02_03,271640.408,test_02
3,test_02_03,303822.662,test_02
4,test_02_03,266152.722,test_02
5,test_02_03,278952.643,test_02
0,test_02_04,589203.335,test_02
1,test_02_04,280335.090,test_02
2,test_02_04,275556.172,test_02
3,test_02_04,276952.655,test_02
4,test_02_04,240258.147,test_02
5,test_02_04,261865.030,test_02
