time,sample,area,experiment
0,control_00,136462.305,control
1,control_00,190104.075,control
2,control_00,241430.070,control
3,control_00,281878.940,control
4,control_00,321162.905,control
5,control_00,346741.693,control
0,control_01,135093.892,control
1,control_01,201184.707,control
2,control_01,237914.302,control
3,control_01,294159.565,control
4,control_01,306159.490,control
5,control_01,373443.280,control
0,control_02,136069.325,control
1,control_02,202328.560,control
2,control_02,251142.290,control
3,control_02,300903.383,control
4,control_02,353632.878,control
5,control_02,360088.977,control
0,control_03,133451.798,control
1,control_03,197472.450,control
2,control_03,243149.358,control
3,control_03,305296.338,control
4,control_03,354545.153,control
5,control_03,382559.013,control
0,control_04,138279.837,control
1,control_04,216910.925,control
2,control_04,276328.097,control
3,control_04,351506.575,control
4,control_04,442207.763,control
5,control_04,426909.612,control
0,control_05,138497.380,control
1,control_05,212686.390,control
2,control_05,271542.162,control
3,control_05,348145.193,control
4,control_05,436762.182,control
5,control_05,447674.395,control
0,test_00_00,137500.895,test_00
1,test_00_00,211563.590,test_00
2,test_00_00,226110.867,test_00
3,test_00_00,198363.673,test_00
4,test_00_00,218138.987,test_00
5,test_00_00,239100.260,test_00
0,test_00_01,155444.642,test_00
1,test_00_01,216335.490,test_00
2,test_00_01,223430.182,test_00
3,test_00_01,203135.573,test_00
4,test_00_01,228882.780,test_00
5,test_00_01,241809.015,test_00
0,test_00_02,135465.820,test_00
1,test_00_02,210061.845,test_00
2,test_00_02,224019.652,test_00
3,test_00_02,209739.040,test_00
4,test_00_02,237058.168,test_00
5,test_00_02,260342.233,test_00
0,test_00_03,127704.465,test_00
1,test_00_03,209367.112,test_00
2,test_00_03,224868.770,test_00
3,test_00_03,200321.555,test_00
4,test_00_03,956001.042,test_00
5,test_00_03,245135.310,test_00
0,test_00_04,132799.170,test_00
1,test_00_04,206398.710,test_00
2,test_00_04,226349.462,test_00
3,test_00_04,218335.478,test_00
4,test_00_04,257801.897,test_00
5,test_00_04,275710.557,test_00
0,test_00_05,120076.443,test_00
1,test_00_05,197809.290,test_00
2,test_00_05,212960.073,test_00
3,test_00_05,198370.690,test_00
4,test_00_05,222742.467,test_00
5,test_00_05,241373.930,test_00
0,test_00_06,114476.478,test_00
1,test_00_06,190798.807,test_00
2,test_00_06,207282.915,test_00
3,test_00_06,194118.085,test_00
4,test_00_06,216531.980,test_00
5,test_00_06,218546.003,test_00
